captured_at_utc,date,step,exit_code,message
2026-05-05T16:22:35Z,2026-05-05,scrape-dk,1,"ool(host='sportsbook-nash.draftkings.com'; port=443): Read timed out. (read timeout=45)); retrying in 1.0s...
  DK fetch attempt 2/3 failed (ReadTimeout: HTTPSConnectionPool(host='sportsbook-nash.draftkings.com'; port=443): Read timed out. (read timeout=45)); retrying in 2.0s...
  Fetch failed: HTTPSConnectionPool(host='sportsbook-nash.draftkings.com'; port=443): Read timed out. (read timeout=45)"
2026-05-05T17:06:04Z,2026-05-05,scrape-dk,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T17:17:23Z,2026-05-05,scrape-dk,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T18:06:27Z,2026-05-05,scrape-dk,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T18:17:53Z,2026-05-05,odds-only-scrape,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T19:16:35Z,2026-05-05,scrape-dk,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T19:54:34Z,2026-05-05,odds-only-scrape,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T20:02:16Z,2026-05-05,scrape-dk,1,"leagues/84240/categories/1024); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024); retrying in 2.0s...
  Fetch failed: 403 Client Error: Forbidden for url: https://sportsbook-nash.draftkings.com/api/sportscontent/dkusin/v1/leagues/84240/categories/1024"
2026-05-05T20:53:29Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T20:56:42Z,2026-05-05,odds-only-scrape,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T21:08:00Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T21:51:39Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T22:07:54Z,2026-05-05,odds-only-scrape,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T22:42:37Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T23:00:41Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T23:09:17Z,2026-05-05,odds-only-scrape,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-05T23:52:48Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-06T00:01:28Z,2026-05-05,odds-only-scrape,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-06T02:31:45Z,2026-05-05,scrape-dk,1,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
2026-05-06T06:22:13Z,2026-05-05,feature-drift,0,feature drift 2026-05-05: 5 HIGH + 2 MEDIUM alerts; see drift_2026-05-05.csv
2026-05-07T06:23:24Z,2026-05-06,feature-drift,0,feature drift 2026-05-06: 5 HIGH + 0 MEDIUM alerts; see drift_2026-05-06.csv
2026-05-08T05:39:56Z,2026-05-07,feature-drift,0,feature drift 2026-05-07: 2 HIGH + 2 MEDIUM alerts; see drift_2026-05-07.csv
2026-05-09T04:46:33Z,2026-05-08,feature-drift,0,feature drift 2026-05-08: 2 HIGH + 1 MEDIUM alerts; see drift_2026-05-08.csv
2026-05-09T06:04:19Z,2026-05-08,feature-drift,0,feature drift 2026-05-08: 2 HIGH + 1 MEDIUM alerts; see drift_2026-05-08.csv
2026-05-09T18:58:57Z,2026-05-09,scrape-dk-odds,0,"  DK warmup GET returned 403 (non-fatal; proceeding to API call)
  DK fetch attempt 1/3 failed (HTTPError: HTTP Error 403: ); retrying in 1.0s...
  DK fetch attempt 2/3 failed (HTTPError: HTTP Error 403: ); retrying in 2.0s...
  Fetch failed: HTTP Error 403: "
