cut,ntr,nte,model,depth,n,units,roi,hit,be,edge_pp
2026-06-30,792,336,A_shipped_p,0.2,67,-13.106747016424436,-19.562308979737963,44.776119402985074,55.479744404221485,-10.70362500123641
2026-06-30,792,336,A_shipped_p,0.3,101,-12.192728274485784,-12.072008192560183,48.51485148514851,54.99879718022894,-6.483945695080429
2026-06-30,792,336,A_shipped_p,0.5,168,-16.86724706253893,-10.040028013416029,48.80952380952381,54.21010615723595,-5.400582347712138
2026-06-30,792,336,B_shipped_EV,0.05,17,-3.2141025641025642,-18.906485671191554,41.17647058823529,50.39197957299223,-9.215508984756937
2026-06-30,792,336,B_shipped_EV,0.1,34,-6.787728937728938,-19.963908640379227,41.17647058823529,50.81219991630492,-9.63572932806963
2026-06-30,792,336,B_shipped_EV,0.2,67,-11.403021978021975,-17.019435788092498,43.28358208955223,51.868014706189314,-8.58443261663708
2026-06-30,792,336,B_shipped_EV,0.3,101,-19.122069597069594,-18.93274217531643,42.57425742574257,52.53699661746995,-9.96273919172738
2026-06-30,792,336,B_shipped_EV,0.5,168,-18.41568930130375,-10.961719822204612,47.023809523809526,52.698056061013666,-5.674246537204141
2026-06-30,792,336,C_bookEV,0.05,17,0.5785714285714285,3.403361344537815,52.94117647058824,51.27465276490286,1.6665237056853783
2026-06-30,792,336,C_bookEV,0.1,34,0.7283926218708834,2.142331240796716,52.94117647058824,51.85560722853915,1.0855692420490897
2026-06-30,792,336,C_bookEV,0.2,67,-3.0040607942781836,-4.483672827280872,50.74626865671642,52.04112289383658,-1.2948542371201626
2026-06-30,792,336,C_bookEV,0.3,101,0.5496429094255182,0.5442009004213051,52.475247524752476,51.693963181182376,0.7812843435700998
2026-06-30,792,336,C_bookEV,0.5,168,-12.95176321133544,-7.709382863890142,48.214285714285715,51.885099704633674,-3.670813990347959
2026-06-30,792,336,D_refit_outcome,0.05,17,-0.24761904761904763,-1.4565826330532212,47.05882352941176,47.31242849088326,-0.2536049614715026
2026-06-30,792,336,D_refit_outcome,0.1,34,2.3486542443064176,6.907806600901228,52.94117647058824,49.23439115175023,3.7067853188380084
2026-06-30,792,336,D_refit_outcome,0.2,67,4.399619543097803,6.566596332981795,53.73134328358209,50.077830110804776,3.6535131727773162
2026-06-30,792,336,D_refit_outcome,0.3,101,2.448714872777839,2.4244701710671674,52.475247524752476,50.65162481827807,1.8236227064744028
