rid,date,away,home,gn,y_nrfi,nrfi_odds,yrfi_odds,pay_n,pay_y,imp_n,imp_y,vig,dev_n,dev_y,p_raw,p_live,lam,park
1082,2026-06-20,NYM,PHI,1,0,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.5124502724565021,0.5245,0.6685,1.04
1083,2026-06-20,LAA,OAK,1,1,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.3517057418417919,0.339,1.0431,0.93
1084,2026-06-20,CWS,DET,1,0,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.48616769962431866,0.4772,0.7202,0.98
1085,2026-06-21,PIT,COL,1,1,125.0,-160.0,1.25,0.625,0.4444444444444444,0.6153846153846154,1.0598290598290598,0.4193548387096774,0.5806451612903226,0.2712555014243903,0.3219,1.3047,1.22
1086,2026-06-21,WSH,TB,1,1,-115.0,-115.0,0.8695652173913043,0.8695652173913043,0.5348837209302325,0.5348837209302325,1.069767441860465,0.5,0.5,0.38979437257957134,0.4062,0.9414,0.93
1087,2026-06-21,BAL,LAD,1,0,-110.0,-120.0,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.5454545454545454,1.0692640692640691,0.48987854251012153,0.5101214574898786,0.41479974833653205,0.4064,0.8805,0.97
1088,2026-06-21,LAA,OAK,1,0,-110.0,-120.0,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.5454545454545454,1.0692640692640691,0.48987854251012153,0.5101214574898786,0.4347314214183705,0.4186,0.8323,0.93
1089,2026-06-21,SF,MIA,1,1,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.4377482849694569,0.4253,0.8256,0.95
1090,2026-06-21,CIN,NYY,1,1,-115.0,-115.0,0.8695652173913043,0.8695652173913043,0.5348837209302325,0.5348837209302325,1.069767441860465,0.5,0.5,0.4343665715699258,0.4163,0.8345,1.02
1091,2026-06-21,BOS,SEA,1,1,-180.0,135.0,0.5555555555555556,1.35,0.6428571428571429,0.425531914893617,1.06838905775076,0.6017069701280228,0.3982930298719772,0.5789029971316082,0.5679,0.5474,0.95
1092,2026-06-21,STL,KC,1,0,-115.0,-110.0,0.8695652173913043,0.9090909090909091,0.5348837209302325,0.5238095238095238,1.0586932447397563,0.5052301255230125,0.4947698744769875,0.5107724593299515,0.5113,0.6727,0.96
1093,2026-06-21,CLE,HOU,1,0,-110.0,-115.0,0.9090909090909091,0.8695652173913043,0.5238095238095238,0.5348837209302325,1.0586932447397563,0.4947698744769875,0.5052301255230125,0.4627554978995624,0.4677,0.7698,0.99
1094,2026-06-21,MIL,ATL,1,0,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.45991078512620226,0.4573,0.776,0.98
1095,2026-06-21,NYM,PHI,1,0,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.4685171989119658,0.4772,0.7572,1.04
1096,2026-06-21,CWS,DET,1,1,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.49345020492034336,0.4786,0.7074,0.98
1098,2026-06-21,MIN,ARI,1,1,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.4194417823032673,0.4064,0.8692,1.0
1099,2026-06-21,SD,TEX,1,1,-120.0,-110.0,0.8333333333333334,0.9090909090909091,0.5454545454545454,0.5238095238095238,1.0692640692640691,0.5101214574898786,0.48987854251012153,0.5364887003445392,0.5479,0.6224,1.07
