season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-04-27,746971,CHC,BOS,8d1cf070854a4e6d4a9d36b27345edca,2024-04-27T20:10:00Z,2024-04-27T19:05:39Z,betrivers,-109,-113,3,0.500527,,0.4313,2
2024,2024-04-27,747131,CLE,ATL,a3684ad8743b588be0e7f6a869ab4d04,2024-04-27T23:20:00Z,2024-04-27T22:15:38Z,superbook,-115,-115,1,0.500000,,0.4382,0
2024,2024-04-28,744947,LAD,TOR,a3fa5d7de75c20ca726752de151afdcb,2024-04-28T17:37:00Z,2024-04-28T16:35:38Z,betrivers,-112,-112,3,0.493232,,0.4153,0
2024,2024-04-28,745428,PHI,SD,cc2e43ae2f1eb0a88ada58db941f6bcc,2024-04-28T20:10:00Z,2024-04-28T19:05:38Z,superbook,-120,-110,1,0.510121,,0.4324,0
2024,2024-04-28,746077,WSH,MIA,a7dd725d6027c0243fdf478964e68755,2024-04-28T17:40:00Z,2024-04-28T16:35:38Z,superbook,-115,-115,1,0.500000,,0.4389,6
2024,2024-04-28,746805,TB,CWS,1b2ec4ace33a165dc62ccc9a9d77a41f,2024-04-28T18:10:00Z,2024-04-28T17:05:38Z,superbook,-120,-110,1,0.510121,,0.4204,0
2024,2024-04-30,746073,COL,MIA,6e7cd4dec18df8b0cf53bfe60bb73de8,2024-04-30T22:40:00Z,2024-04-30T21:35:39Z,betrivers,102,-125,2,0.471204,,0.4143,5
2024,2024-04-30,746239,PHI,LAA,d3794c14089d8a6076ab67c7e80a20d8,2024-05-01T01:38:00Z,2024-05-01T00:35:39Z,superbook,-105,-125,1,0.479695,,0.4343,0
2024,2024-04-30,746398,CLE,HOU,bc09825bb8e6f0f82458540ad554cc7a,2024-05-01T00:10:00Z,2024-04-30T23:05:40Z,superbook,-125,-105,1,0.520305,,0.4162,3
2024,2024-04-30,746968,SF,BOS,a9533d57587d7f36d35f93840e7cfcf0,2024-04-30T23:10:00Z,2024-04-30T22:05:39Z,betrivers,-106,-118,3,0.484796,,0.4386,1
