season,date,game_pk,away,home,event_id,commence_time,snapshot_ts,book,over_price,under_price,n_books_0_5,cons_over_devig,fanduel_over_devig,nrfi_prob,fi_total_runs
2024,2024-05-30,745081,OAK,TB,1750367a5dc50638b4da4b3309ab4e7b,2024-05-30T17:10:00Z,2024-05-30T16:05:38Z,betrivers,-104,-120,3,0.481971,,0.322034,2
2024,2024-05-30,746225,NYY,LAA,a19df815fe99cb6b22e9ad8e43a7c30f,2024-05-31T01:38:00Z,2024-05-31T00:35:38Z,superbook,-115,-115,1,0.500000,,0.395331,0
2024,2024-05-31,746140,COL,LAD,4308d9b5f19fe4c5d0af235e0355bca9,2024-06-01T02:10:00Z,2024-06-01T01:05:38Z,superbook,-115,-115,1,0.500000,,0.326984,0
2024,2024-06-01,745332,NYY,SF,3af10ba25f2c241625c3fcd9dddf76c5,2024-06-02T02:05:00Z,2024-06-02T01:00:37Z,betrivers,108,-139,3,0.454769,,0.402164,2
2024,2024-06-02,745330,NYY,SF,e63a445e01d56dd470bdd7ac9b6d85ff,2024-06-02T20:05:00Z,2024-06-02T19:00:37Z,superbook,100,-130,1,0.469388,,0.322034,1
2024,2024-06-03,746224,SD,LAA,873dd2632bda55688aabcd2f9dd02d10,2024-06-04T01:38:00Z,2024-06-04T00:35:37Z,betrivers,-107,-117,2,0.484578,,0.365885,1
2024,2024-06-03,746548,CIN,COL,3489cfc25895f1796c3bf9ef27f11bd5,2024-06-04T00:40:00Z,2024-06-03T23:35:37Z,superbook,-150,115,1,0.563319,,0.322034,1
2024,2024-06-03,747194,SF,ARI,d6ebea96c61b55bda23b97f1e4cb5e7b,2024-06-04T01:40:00Z,2024-06-04T00:35:37Z,betrivers,-105,-120,2,0.497199,,0.366208,0
2024,2024-06-04,745568,MIL,PHI,a631ab23aa87e0b7f0331f3d21187ed5,2024-06-04T22:40:00Z,2024-06-04T21:35:37Z,superbook,-120,-110,1,0.510121,,0.372653,0
2024,2024-06-04,746550,CIN,COL,792f7aa94aa82c3dffb257fbf9837819,2024-06-05T00:40:00Z,2024-06-04T23:35:37Z,superbook,-140,110,1,0.550562,,0.322034,1
2024,2024-06-04,747196,SF,ARI,4908e89725daa817e2a30788768b16a2,2024-06-05T01:40:00Z,2024-06-05T00:35:37Z,superbook,-125,-105,1,0.520305,,0.352273,0
2024,2024-06-05,746544,CIN,COL,ee66f82d3a247933956aea0ed8f1c49d,2024-06-05T19:10:00Z,2024-06-05T18:05:37Z,superbook,-165,125,1,0.583497,,0.322034,4
2024,2024-06-07,746220,HOU,LAA,75e05ae7be528632e2a65b58f6e5a9b1,2024-06-08T01:38:00Z,2024-06-08T00:35:37Z,superbook,-105,-125,1,0.479695,,0.403636,1
