season,date,game_pk,away,home,p_nrfi,fi_total_runs
2024,2024-08-31,745050,SD,TB,0.389718,3
2024,2024-08-31,746507,BAL,COL,0.322034,0
2024,2024-08-31,747158,LAD,ARI,0.391289,7
2024,2024-09-01,746426,BOS,DET,0.354931,0
2024,2024-09-01,746505,BAL,COL,0.325752,1
2024,2024-09-01,746669,MIL,CIN,0.393453,0
2024,2024-09-02,746668,HOU,CIN,0.38258,2
2024,2024-09-03,745293,ARI,SF,0.377153,4
2024,2024-09-03,745615,SEA,OAK,0.409205,3
2024,2024-09-03,746185,LAD,LAA,0.322034,0
2024,2024-09-03,747079,COL,ATL,0.400989,0
2024,2024-09-04,746178,LAD,LAA,0.322034,5
2024,2024-09-05,745369,DET,SD,0.344801,1
2024,2024-09-05,747073,COL,ATL,0.38899,1
2024,2024-09-06,746104,CLE,LAD,0.334862,0
2024,2024-09-07,746099,CLE,LAD,0.322034,6
2024,2024-09-08,745368,SF,SD,0.409127,0
2024,2024-09-08,746098,CLE,LAD,0.3612,0
2024,2024-09-08,746910,CWS,BOS,0.352559,0
2024,2024-09-09,746101,CHC,LAD,0.322034,3
2024,2024-09-09,746746,CLE,CWS,0.322034,2
2024,2024-09-10,746747,CLE,CWS,0.352441,0
2024,2024-09-11,746100,CHC,LAD,0.364587,7
2024,2024-09-11,746425,COL,DET,0.390748,6
2024,2024-09-12,744805,MIA,WSH,0.387404,3
2024,2024-09-13,746423,BAL,DET,0.390838,1
2024,2024-09-13,746509,CHC,COL,0.322034,2
2024,2024-09-14,746177,HOU,LAA,0.330991,2
2024,2024-09-14,746422,BAL,DET,0.410112,0
2024,2024-09-14,746508,CHC,COL,0.352828,1
2024,2024-09-15,745287,SD,SF,0.404469,0
2024,2024-09-15,746180,HOU,LAA,0.32949,0
2024,2024-09-15,746506,CHC,COL,0.322034,0
2024,2024-09-15,747071,LAD,ATL,0.322034,0
2024,2024-09-15,747151,MIL,ARI,0.366851,2
2024,2024-09-16,746502,ARI,COL,0.322034,2
2024,2024-09-17,746015,LAD,MIA,0.322034,2
2024,2024-09-17,746176,CWS,LAA,0.397755,0
2024,2024-09-17,746503,ARI,COL,0.322034,0
2024,2024-09-18,746172,CWS,LAA,0.322034,0
2024,2024-09-18,746500,ARI,COL,0.322034,3
2024,2024-09-20,746094,COL,LAD,0.322034,0
2024,2024-09-21,746096,COL,LAD,0.322034,1
2024,2024-09-22,746092,COL,LAD,0.322034,3
2024,2024-09-24,745605,TEX,OAK,0.40375,3
2024,2024-09-24,746093,SD,LAD,0.411483,1
2024,2024-09-24,746504,STL,COL,0.401774,0
2024,2024-09-24,746743,LAA,CWS,0.390602,0
2024,2024-09-25,745607,TEX,OAK,0.403175,3
2024,2024-09-25,746501,STL,COL,0.325995,0
2024,2024-09-25,747144,SF,ARI,0.341749,0
2024,2024-09-26,746088,SD,LAD,0.404896,0
2024,2024-09-26,746495,STL,COL,0.364233,4
2024,2024-09-27,746494,LAD,COL,0.322034,3
2024,2024-09-28,746499,LAD,COL,0.322034,1
2024,2024-09-28,747146,SD,ARI,0.322034,0
2024,2024-09-29,746174,TEX,LAA,0.408561,0
2024,2024-09-29,746496,LAD,COL,0.322034,0
2025,2025-04-01,778485,CLE,SD,0.355932,0
2025,2025-04-01,778487,ATL,LAD,0.355932,0
2025,2025-04-01,778492,ARI,NYY,0.355932,0
2025,2025-04-02,778472,ATL,LAD,0.358706,2
2025,2025-04-02,778476,CLE,SD,0.404111,0
2025,2025-04-03,778466,ARI,NYY,0.362806,4
2025,2025-04-05,778449,NYY,PIT,0.40656,0
2025,2025-04-07,778424,NYY,DET,0.355932,0
2025,2025-04-09,778379,MIL,COL,0.355932,0
2025,2025-04-09,778387,NYY,DET,0.409469,0
2025,2025-04-09,778393,PHI,ATL,0.370644,0
2025,2025-04-11,778356,CHC,LAD,0.355932,0
2025,2025-04-11,778369,WSH,MIA,0.35897,0
2025,2025-04-15,778318,ARI,MIA,0.355932,0
2025,2025-04-17,778291,ARI,MIA,0.355932,3
2025,2025-04-20,778266,WSH,COL,0.361454,1
2025,2025-04-25,778177,ATL,ARI,0.370195,0
2025,2025-04-27,778148,CIN,COL,0.386307,3
2025,2025-04-28,778140,NYY,BAL,0.397533,0
2025,2025-04-29,778120,ATL,COL,0.355932,0
2025,2025-04-29,778133,NYY,BAL,0.355932,5
2025,2025-04-30,778115,NYY,BAL,0.403029,2
2025,2025-05-02,778080,CHC,MIL,0.391406,2
