date,severity,metric,note
2026-05-28,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 1/6 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-28,MEDIUM,away_pitcher_q=live,away_pitcher_q=live: today=50.0% baseline=71.1% shift=-21.1%
2026-05-28,MEDIUM,away_pitcher_q=sm,away_pitcher_q=sm: today=33.3% baseline=8.2% shift=+25.1%
2026-05-28,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 1/6 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-29,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-29,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-30,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-30,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-31,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-31,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = HIGH; >=3 = MEDIUM)
2026-06-01,HIGH,away_pitcher_q=sm,away_pitcher_q=sm: today=44.4% baseline=9.6% shift=+34.9%
2026-06-01,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 2/9 extreme values (outside [5.0, 95.0]); max=100.00"
2026-06-01,HIGH,away_pitcher_q=sm,away_pitcher_q=sm: today=44.4% baseline=9.6% shift=+34.9%
2026-06-01,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 2/9 extreme values (outside [5.0, 95.0]); max=100.00"
2026-06-02,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = MEDIUM; informational -- not predictive of pick quality)
2026-06-02,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = MEDIUM; informational -- not predictive of pick quality)
2026-06-03,MEDIUM,away_pitcher_q=live,away_pitcher_q=live: today=93.3% baseline=67.8% shift=+25.6%
2026-06-03,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = MEDIUM; informational -- not predictive of pick quality)
2026-06-03,MEDIUM,away_pitcher_q=live,away_pitcher_q=live: today=93.3% baseline=67.8% shift=+25.6%
2026-06-03,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = MEDIUM; informational -- not predictive of pick quality)
