date,game_pk,away_fi_xwoba,home_fi_xwoba,away_fi_k,home_fi_k,away_fi_bb,home_fi_bb,away_fi_csw,home_fi_csw,away_fi_pa,home_fi_pa,away_fi_velo,home_fi_velo
2024-04-18,746970,0.3157,,0.2491,,0.1053,,0.2905,,15,,0.343,
2024-04-19,744872,,0.3067,,0.2790,,0.1069,,0.2947,,14,,0.372
2024-04-19,745189,0.2876,0.3732,0.2767,0.2134,0.0973,0.1014,0.2907,0.2773,11,18,-0.069,0.381
2024-04-19,745352,,0.3177,,0.2521,,0.0845,,0.2973,,10,,0.179
2024-04-19,745430,0.3019,0.3238,0.2642,0.2585,0.0938,0.0909,0.2973,0.2932,3,16,,0.414
2024-04-19,745518,0.3044,,0.2520,,0.0799,,0.2950,,14,,0.145,
2024-04-19,745592,0.2790,0.2997,0.3006,0.2451,0.0821,0.0960,0.3118,0.2752,12,12,0.676,0.153
2024-04-19,745758,0.3070,0.2918,0.2483,0.2589,0.0938,0.0960,0.2985,0.3080,3,12,0.121,0.446
2024-04-19,745922,0.3088,0.3010,0.2486,0.2767,0.0788,0.0833,0.3005,0.2892,15,11,0.103,0.524
2024-04-19,746160,0.3186,0.3163,0.2417,0.3090,0.0810,0.1074,0.2720,0.3162,13,23,0.286,0.036
2024-04-19,746325,0.3129,0.3009,0.2312,0.2619,0.0821,0.0922,0.2965,0.2957,12,15,0.365,0.274
2024-04-19,746572,0.3026,,0.2691,,0.0810,,0.3063,,13,,0.421,
2024-04-19,746650,0.3151,0.3257,0.2384,0.2114,0.1069,0.1204,0.2846,0.2670,14,14,0.424,0.054
2024-04-19,746729,0.3302,0.3022,0.2451,0.2642,0.0960,0.0938,0.3013,0.3065,12,3,0.284,
2024-04-19,746892,0.3098,,0.2322,,0.1304,,0.2828,,16,,0.537,
2024-04-19,747136,0.3125,0.3268,0.2322,0.2451,0.1304,0.0960,0.2799,0.2891,16,12,0.431,-0.033
2024-04-20,744865,0.3169,0.3210,0.2282,0.2453,0.1215,0.0955,0.2808,0.2964,13,12,0.121,0.369
2024-04-20,745190,0.3537,0.3520,0.2324,0.2008,0.1168,0.1266,0.3018,0.2793,16,18,0.187,0.208
2024-04-20,745354,0.2943,0.2914,0.2488,0.2587,0.1050,0.0773,0.3076,0.2965,15,16,0.516,0.044
2024-04-20,745431,0.3391,,0.2455,,0.1168,,0.3073,,16,,0.140,
