game_pk,home_K20_all,home_K40_all,home_K65_all,home_K100_all,home_K65_pw0,home_K65_pw6,home_K65_hl15,home_K65_hl30,home_K65_win20,home_shipped_like,away_K20_all,away_K40_all,away_K65_all,away_K100_all,away_K65_pw0,away_K65_pw6,away_K65_hl15,away_K65_hl30,away_K65_win20,away_shipped_like
776635,0.7745656985892205,0.7572789886183021,0.7466579168141362,0.7390124651267649,0.7380151313339636,0.7539502670630318,0.7382602727337414,0.7411078791164362,0.7268144192711888,0.9,0.7212520589433413,0.7208178974759969,0.7205259305754728,0.7203024127126545,0.7278564678432703,0.7143594105675902,0.7303725869971336,0.7270761157452476,0.7268144192711888,0.9
776636,0.6890340888809566,0.7007088719478511,0.7068287179103362,0.710827017272493,0.7093044607952199,0.7046247029030616,0.7056312878728409,0.7060182940410585,0.69152030162413,0.6,0.716453596287703,0.7177443155452436,0.7183896751740141,0.7188003585741405,0.7069452991021892,0.728138588124087,0.7161108510371896,0.7170088073470006,0.7385791251535417,0.7
776637,0.75624382124483,0.7392375762153996,0.7320474358536919,0.7278450431374317,0.7320474358536919,0.7320474358536919,0.7315206006727698,0.7317792212769617,0.7320474358536919,1.0,0.5965061548599305,0.6363039705535086,0.6602902835218762,0.6773424072449176,0.6602235539308262,0.6603556450803081,0.6786908707569799,0.6703141239650934,0.6562261839770712,0.6
776638,0.6813227396901429,0.6923450542710085,0.6995689813747469,0.7050003043453353,0.6906730186142165,0.7073046011665123,0.7061845044570448,0.7028308357853865,0.7032850075064829,0.7,0.7451639949377769,0.7330289470776711,0.7280481438515083,0.7251768572858378,0.7280481438515083,0.7280481438515083,0.7278647230660497,0.7279554049389935,0.7280481438515083,1.0
776639,0.6748547247416158,0.6888627465197217,0.697519389191585,0.7037745116383505,0.6972403204756381,0.6977472003882761,0.7006850563702854,0.6988395760417656,0.6797555957417771,0.6,0.6906500911240092,0.7018803825389204,0.7076822117086187,0.7114417139047042,0.7132327788925817,0.7025091390182752,0.7081553723027689,0.7080168198795838,0.6961352486512175,0.6
776640,0.6308529233007857,0.6554248378597812,0.671934487544204,0.6845656798424449,0.6679457458869438,0.675227257392599,0.6886563107151878,0.6809035736896825,0.6679908898594241,0.7,0.6870882048414036,0.6999450843641456,0.7064626900667246,0.7106417293871315,0.7131227707171799,0.7011756592186142,0.7063773200040948,0.7061815317344124,0.69152030162413,0.5
776641,0.7663968572031218,0.7527370727669909,0.743888925460932,0.7372900268158525,0.7503438310358947,0.7384992695289887,0.7409024856073301,0.7425351501559431,0.7503438310358947,0.8,0.7767821525972706,0.7577164570494522,0.7465162030394705,0.7386825641630982,0.7380151313339636,0.7542705589870614,0.73578146164952,0.740280337031589,0.7503438310358947,0.8
776642,0.6920429386432172,0.6995516715020774,0.7046539544791932,0.7085891284160347,0.7166166282207691,0.694814047242592,0.7144232657654997,0.7115548312794009,0.7150456460193936,0.7,0.7182594570127815,0.7186943628656359,0.7189664807064202,0.7191647286681234,0.7268103519017465,0.7119630242820216,0.7213671820754272,0.7204693707335001,0.7268103519017465,0.7
776643,0.7134072333826907,0.7155052805562239,0.7167361513921114,0.717596322563902,0.7222403204756381,0.7118217147103912,0.7222965161492776,0.7202825321040162,0.7268144192711888,0.8,0.6901163835042288,0.7017101132796506,0.707621389974356,0.7114237787671663,0.707621389974356,0.707621389974356,0.7097218771418016,0.7087393667001891,0.707621389974356,0.6
776644,0.7023974746481141,0.7082542885178457,0.7116533322815292,0.7140126685410272,0.7116533322815292,0.7116533322815292,0.7176405788940791,0.7153580421350705,0.7116533322815292,0.7,0.6979380461260498,0.7055517166821873,0.7098523740761079,0.7127882797299935,0.7097359988956057,0.7099629443188652,0.7186305405919551,0.7146924655266462,0.7032809401370406,0.8
